URI,rdf-schema#label,rdf-schema#comment,assembly_label,assembly,automobilePlatform_label,automobilePlatform,bodyStyle_label,bodyStyle,class_label,class,designCompany_label,designCompany,designer_label,designer,engine_label,engine,fuelCapacity,height,layout_label,layout,length,manufacturer_label,manufacturer,modelEndYear,modelStartYear,parentCompany_label,parentCompany,predecessor_label,predecessor,productionEndDate,productionEndYear,productionStartDate,productionStartYear,relatedMeanOfTransportation_label,relatedMeanOfTransportation,sales_label,sales,successor_label,successor,thumbnail_label,thumbnail,transmission,variantOf_label,variantOf,vehicle_label,vehicle,weight,wheelbase,width,point,22-rdf-syntax-ns#type_label,22-rdf-syntax-ns#type,wgs84_pos#lat,wgs84_pos#long,depiction_label,depiction,name
http://dbpedia.org/resource/Crawler-transporter,Crawler-transporter,The crawler-transporters are a pair of tracked vehicles used to transport spacecraft from NASA's Vehicle Assembly Building (VAB) along the Crawlerway to Launch Complex 39. They were originally used to transport the Saturn IB and Saturn V rockets during the Apollo Skylab and Apollo–Soyuz programs. They were then used to transport Space Shuttles from 1981 to 2011.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crawler-transporter__1,http://dbpedia.org/resource/Crawler-transporter__1,NULL,NULL,NULL,NULL,39.9288,Marion Power Shovel Company,http://dbpedia.org/resource/Marion_Power_Shovel_Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-Crawler-Transporter.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Crawler-Transporter.jpg/200px-Crawler-Transporter.jpg,16 traction motors powered by four  generators,NULL,NULL,NULL,NULL,2.721e+09,NULL,34.7472,28.58808 -80.65521,{automobile|mean of transportation|Product|_Feature|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.opengis.net/gml/_Feature|http://www.w3.org/2002/07/owl#Thing},28.5881,-80.6552,Crawler-Transporter.jpg,http://upload.wikimedia.org/wikipedia/commons/6/6d/Crawler-Transporter.jpg,Crawler-transporter
http://dbpedia.org/resource/Lada_Samara,Lada Samara,The Lada Samara is an economy car produced by Soviet/Russian vehicle manufacturer AvtoVAZ under the Lada brand since 1984. The brand name Samara originally was used only for exported models in Russia the same model was called Sputnik (satellite) until 1991 when the sedan version of Samara entered in production using the export name. The production of Lada Samara will be ended in 2013. However there is no word of the pickup version to be discontinued.,{Finland|Kazakhstan|Montevideo|Oskemen|Russia|Tolyatti|Ukraine|Uruguay|Uusikaupunki|Zaporizhia},{http://dbpedia.org/resource/Finland|http://dbpedia.org/resource/Kazakhstan|http://dbpedia.org/resource/Montevideo|http://dbpedia.org/resource/Oskemen|http://dbpedia.org/resource/Russia|http://dbpedia.org/resource/Tolyatti|http://dbpedia.org/resource/Ukraine|http://dbpedia.org/resource/Uruguay|http://dbpedia.org/resource/Uusikaupunki|http://dbpedia.org/resource/Zaporizhia},NULL,NULL,{Hatchback|Sedan (automobile)},{http://dbpedia.org/resource/Hatchback|http://dbpedia.org/resource/Sedan_(automobile)},Economy car,http://dbpedia.org/resource/Economy_car,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.335,Front-engine front-wheel-drive layout,"http://dbpedia.org/resource/Front-engine,_front-wheel-drive_layout",4.005,Lada,http://dbpedia.org/resource/Lada,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2108-01-01T00:00:00+02:00,NULL,2108,NULL,NULL,NULL,NULL,NULL,NULL,200px-Lada_2109_Samara_1300_S_Hanseat_Front.JPG,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Lada_2109_Samara_1300_S_Hanseat_Front.JPG/200px-Lada_2109_Samara_1300_S_Hanseat_Front.JPG,NULL,NULL,NULL,NULL,NULL,NULL,2.46,1.65,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Lada_2109_Samara_1300_S_Hanseat_Front.JPG,http://upload.wikimedia.org/wikipedia/commons/f/fd/Lada_2109_Samara_1300_S_Hanseat_Front.JPG,{Bognor Sagona (ROU)|Lada Forma (Sedan)|Lada Sagona (Sedan)|Lada Samara|Lada Samara 2|Lada Sputnik|VAZ 2108/2109/21099|VAZ 2113/2114/2115}
http://dbpedia.org/resource/Volkswagen_K%C3%BCbelwagen,Volkswagen Kübelwagen,The Volkswagen Kübelwagen (literally translated as tub truck for its resemblance to a metal bathtub on wheels) was a light military vehicle designed by Ferdinand Porsche and built by Volkswagen during World War II for use by the German military. Based heavily on the Volkswagen Beetle it was prototyped as the Type 62 but eventually became known internally as the Type 82.,Wolfsburg,http://dbpedia.org/resource/Wolfsburg,Volkswagen Beetle,http://dbpedia.org/resource/Volkswagen_Beetle,Roadster (automobile),http://dbpedia.org/resource/Roadster_(automobile),List of military vehicles,http://dbpedia.org/resource/List_of_military_vehicles,NULL,NULL,NULL,NULL,{Volkswagen_K%C3%BCbelwagen__2|Volkswagen_K%C3%BCbelwagen__3},{http://dbpedia.org/resource/Volkswagen_K%C3%BCbelwagen__2|http://dbpedia.org/resource/Volkswagen_K%C3%BCbelwagen__3},NULL,1.65,Rear-engine rear-wheel-drive layout,"http://dbpedia.org/resource/Rear-engine,_rear-wheel-drive_layout",3.74,Volkswagen,http://dbpedia.org/resource/Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1945-01-01T00:00:00+02:00,NULL,50,{VW 276 Schlepperfahrzeug|Volkswagen Schwimmwagen},{http://dbpedia.org/resource/VW_276_Schlepperfahrzeug|http://dbpedia.org/resource/Volkswagen_Schwimmwagen},NULL,NULL,Volkswagen 181,http://dbpedia.org/resource/Volkswagen_181,200px-VW_Kuebelwagen_1.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/VW_Kuebelwagen_1.jpg/200px-VW_Kuebelwagen_1.jpg,{4-speed manual;|self-locking differential},NULL,NULL,NULL,NULL,715000.0,2.4,1.6,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,VW_Kuebelwagen_1.jpg,http://upload.wikimedia.org/wikipedia/commons/f/f3/VW_Kuebelwagen_1.jpg,{Safari Bucket/Tub Car|VW type 82 Kübelwagen}
http://dbpedia.org/resource/Volkswagen_Schwimmwagen,Volkswagen Schwimmwagen,The VW Type 128 and 166 Schwimmwagen (literally Floating / Swimming Car) were amphibious four-wheel drive off-roaders used extensively by the German Wehrmacht and the Waffen-SS during the Second World War. The Type 166 is the most numerous mass-produced amphibious car in history.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Volkswagen_Schwimmwagen__2,http://dbpedia.org/resource/Volkswagen_Schwimmwagen__2,NULL,1.615,NULL,NULL,3.825,Volkswagen,http://dbpedia.org/resource/Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1944-01-01T00:00:00+02:00,NULL,14,Volkswagen Kübelwagen,http://dbpedia.org/resource/Volkswagen_K%C3%BCbelwagen,NULL,NULL,NULL,NULL,200px-VW_Schwimmwagen_1.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/VW_Schwimmwagen_1.jpg/200px-VW_Schwimmwagen_1.jpg,{2-speed transfer case;|4-speed manual|4WD only on 1st gear / reverse},NULL,NULL,NULL,NULL,910000.0,2.0,1.48,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,VW_Schwimmwagen_1.jpg,http://upload.wikimedia.org/wikipedia/commons/9/98/VW_Schwimmwagen_1.jpg,Volkswagen Type 166 'Schwimmwagen'
http://dbpedia.org/resource/Vauxhall_Viva,Vauxhall Viva,The Viva was a small family car produced by Vauxhall Motors in a succession of three versions between 1963 and 1979. These were known as the HA the HB and the HC series. The Viva appeared a year after Vauxhall's sister company Opel launched the Opel Kadett A: visually the two cars' kinship was obvious. A van version was also produced as the Bedford HA. In the UK the Viva's principal competitors at the time of its launch included the well-established Ford Anglia and Morris Minor.,{Cheshire|Ellesmere Port},{http://dbpedia.org/resource/Cheshire|http://dbpedia.org/resource/Ellesmere_Port},NULL,NULL,NULL,NULL,Compact car,http://dbpedia.org/resource/Compact_car,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vauxhall Motors,http://dbpedia.org/resource/Vauxhall_Motors,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1979-01-01T00:00:00+02:00,NULL,1,NULL,NULL,NULL,NULL,{Vauxhall Astra|Vauxhall Chevette},{http://dbpedia.org/resource/Vauxhall_Astra|http://dbpedia.org/resource/Vauxhall_Chevette},200px-Vivahc.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Vivahc.jpg/200px-Vivahc.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Vivahc.jpg,http://upload.wikimedia.org/wikipedia/commons/1/14/Vivahc.jpg,Vauxhall Viva
http://dbpedia.org/resource/ThrustSSC,ThrustSSC,Thrust SSC (or Thrust supersonic car) is a British jet-propelled car developed by Richard Noble Glynne Bowsher Ron Ayers and Jeremy Bliss. Thrust SSC holds the World Land Speed Record set on 15 October 1997 when it achieved a speed of 1228 km/h and became the first car to officially break the sound barrier.,NULL,NULL,NULL,NULL,NULL,NULL,Land speed record,http://dbpedia.org/resource/Land_speed_record,{Glynne_Bowsher|Jeremy_Bliss|Ron Ayers},{http://dbpedia.org/resource/Glynne_Bowsher|http://dbpedia.org/resource/Jeremy_Bliss|http://dbpedia.org/resource/Ron_Ayers},{Glynne_Bowsher|Jeremy_Bliss|Ron Ayers},{http://dbpedia.org/resource/Glynne_Bowsher|http://dbpedia.org/resource/Jeremy_Bliss|http://dbpedia.org/resource/Ron_Ayers},NULL,NULL,NULL,NULL,NULL,NULL,16.5,NULL,NULL,NULL,NULL,NULL,NULL,Thrust2,http://dbpedia.org/resource/Thrust2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-Cmglee_Thrust_SSC_front.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Cmglee_Thrust_SSC_front.jpg/200px-Cmglee_Thrust_SSC_front.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.7,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Cmglee_Thrust_SSC_front.jpg,http://upload.wikimedia.org/wikipedia/commons/d/db/Cmglee_Thrust_SSC_front.jpg,Thrust SSC
http://dbpedia.org/resource/Saab_9-2,Saab 9-2,The Saab 9-2 (or sometimes referred to as Saab 9-1) was a car that was proposed in 2010 be added to Saab's production line by 2014 under its then new ownership Spyker Cars though some commentators considered the project a pipe dream. The 9-2 was thought to developed in a joint venture with another automaker probably European.,NULL,NULL,NULL,NULL,NULL,NULL,Compact car,http://dbpedia.org/resource/Compact_car,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Front-engine front-wheel-drive layout,"http://dbpedia.org/resource/Front-engine,_front-wheel-drive_layout",NULL,Saab Automobile,http://dbpedia.org/resource/Saab_Automobile,NULL,NULL,NULL,NULL,Subaru Impreza (second generation),http://dbpedia.org/resource/Subaru_Impreza_(second_generation),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-Saab_wordmark_grey.svg.png,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Saab_wordmark_grey.svg/200px-Saab_wordmark_grey.svg.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Saab_wordmark_grey.svg,http://upload.wikimedia.org/wikipedia/commons/e/e9/Saab_wordmark_grey.svg,{Saab 9-1|Saab 9-2}
http://dbpedia.org/resource/E-M-F_Company,E-M-F Company,The E-M-F Company was an early American automobile manufacturer that produced automobiles from 1909 to 1912. The name E-M-F was gleaned from the initials of the three company founders: Barney Everitt (a custom auto-body builder from Detroit) William Metzger and Walter Flanders (who had served as Henry Ford's production manager).,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-EMF_Model_30_Roadster_1912.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/EMF_Model_30_Roadster_1912.jpg/200px-EMF_Model_30_Roadster_1912.jpg,3-speed sliding gear manual,NULL,NULL,NULL,NULL,NULL,2.6924,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,EMF_Model_30_Roadster_1912.jpg,http://upload.wikimedia.org/wikipedia/commons/c/c6/EMF_Model_30_Roadster_1912.jpg,E-M-F 30
http://dbpedia.org/resource/Continental_Mark_II,Continental Mark II,The Continental Mark II was a personal luxury car produced by the Continental Division of the Ford Motor Company in 1956 and 1957. Many aficionados of the automobile consider the Continental Mark II one of the classics of the postwar period. Continental Mark II File:Continental Mark II. jpg1956 Continental Mark II. Model years 1956–1957Assembly Dearborn Michigan USABody style 2-door hardtopLayout FR layoutEngine 368 cu in 4-bbl.,{Dearborn Michigan|United States},"{http://dbpedia.org/resource/Dearborn,_Michigan|http://dbpedia.org/resource/United_States}",NULL,NULL,Hardtop,http://dbpedia.org/resource/Hardtop,NULL,NULL,NULL,NULL,NULL,NULL,Continental_Mark_II__1,http://dbpedia.org/resource/Continental_Mark_II__1,NULL,1.43002,Front-engine rear-wheel-drive layout,"http://dbpedia.org/resource/Front-engine,_rear-wheel-drive_layout",5.54736,NULL,NULL,1957-01-01T00:00:00+02:00,1956-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-Continental_Mark_II.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Continental_Mark_II.jpg/200px-Continental_Mark_II.jpg,Turbo-Drive 3-speed automatic,NULL,NULL,NULL,NULL,2.268e+06,3.2004,1.9685,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Continental_Mark_II.jpg,http://upload.wikimedia.org/wikipedia/commons/8/8b/Continental_Mark_II.jpg,Continental Mark II
http://dbpedia.org/resource/Honda_Civic,Honda Civic,The Honda Civic is a line of subcompact and subsequently compact cars made and manufactured by Honda. The Civic along with the Accord and Prelude comprised Honda's vehicles sold in North America until the 1990s when the model lineup was expanded. Having gone through several generational changes the Civic has become larger and more upmarket and it currently slots between the Fit and Accord.,NULL,NULL,NULL,NULL,NULL,NULL,{Compact car|Subcompact car},{http://dbpedia.org/resource/Compact_car|http://dbpedia.org/resource/Subcompact_car},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Honda,http://dbpedia.org/resource/Honda,NULL,NULL,NULL,NULL,{Honda N360|Honda Z},{http://dbpedia.org/resource/Honda_N360|http://dbpedia.org/resource/Honda_Z},NULL,NULL,NULL,NULL,{Acura CSX|Acura EL|Acura ILX|Honda Ballade|Honda City|Honda Civic|Honda Civic GTi|Honda Civic GX|Honda Civic Hybrid|Honda Civic Si|Honda Civic Type R|Honda Civic VTi|Honda Concerto|Honda Domani|Honda Quint|Rover 200 / 25},{http://dbpedia.org/resource/Acura_CSX|http://dbpedia.org/resource/Acura_EL|http://dbpedia.org/resource/Acura_ILX|http://dbpedia.org/resource/Honda_Ballade|http://dbpedia.org/resource/Honda_City|http://dbpedia.org/resource/Honda_Civic|http://dbpedia.org/resource/Honda_Civic_GTi|http://dbpedia.org/resource/Honda_Civic_GX|http://dbpedia.org/resource/Honda_Civic_Hybrid|http://dbpedia.org/resource/Honda_Civic_Si|http://dbpedia.org/resource/Honda_Civic_Type_R|http://dbpedia.org/resource/Honda_Civic_VTi|http://dbpedia.org/resource/Honda_Concerto|http://dbpedia.org/resource/Honda_Domani|http://dbpedia.org/resource/Honda_Quint|http://dbpedia.org/resource/Rover_200_/_25},NULL,NULL,NULL,NULL,200px-CVC2012aaa.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/CVC2012aaa.jpg/200px-CVC2012aaa.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,CVC2012aaa.jpg,http://upload.wikimedia.org/wikipedia/commons/6/6e/CVC2012aaa.jpg,Honda Civic
http://dbpedia.org/resource/Buick_Skylark,Buick Skylark,The Buick Skylark is a passenger car produced by the Buick division of General Motors. The model was made in six production runs. In each run the car design varied dramatically due to changing technology and tastes as well as new standards implemented over the years.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Motors,http://dbpedia.org/resource/General_Motors,1953-01-01T00:00:00+02:00,1953-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-1972_Buick_Skylark_Front.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/1972_Buick_Skylark_Front.jpg/200px-1972_Buick_Skylark_Front.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,1972_Buick_Skylark_Front.jpg,http://upload.wikimedia.org/wikipedia/commons/1/1d/1972_Buick_Skylark_Front.jpg,Buick Skylark
http://dbpedia.org/resource/Porsche_904,Porsche 904,The Porsche 904 is an automobile which was produced by Porsche in Germany in 1964 and 1965. It was officially called Porsche Carrera GTS due to the same naming rights problem that required renaming the Porsche 901 to Porsche 911.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-Porsche_904-terabass.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Porsche_904-terabass.jpg/200px-Porsche_904-terabass.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Porsche_904-terabass.jpg,http://upload.wikimedia.org/wikipedia/commons/f/f5/Porsche_904-terabass.jpg,Porsche 904
http://dbpedia.org/resource/Porsche_906,Porsche 906,The Porsche 906 or Carrera 6 was the last street-legal racing car from Porsche. It was announced in January 1966 and 50 examples were subsequently produced thus meeting the homologation requirements of the FIA's new Group 4 Sports Car category to the letter. The type would also compete in modified form in the Group 6 Sports Prototype class.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Porsche,http://dbpedia.org/resource/Porsche,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-Porsche_906_mit_J._Siffert_am_03.06.1966.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Porsche_906_mit_J._Siffert_am_03.06.1966.jpg/200px-Porsche_906_mit_J._Siffert_am_03.06.1966.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Porsche_906_mit_J._Siffert_am_03.06.1966.jpg,http://upload.wikimedia.org/wikipedia/commons/c/c1/Porsche_906_mit_J._Siffert_am_03.06.1966.jpg,Porsche 906 Carrera 6
http://dbpedia.org/resource/Acura_TSX,Acura TSX,The Acura TSX is an entry-level luxury car manufactured by Acura. Introduced in April 2003 as a 2004 model it was sold only in the United States and Canada but since the 2009 model year it has also been available in Mexico. It is also sold in Guam and Puerto Rico.,{Japan|Sayama Saitama},"{http://dbpedia.org/resource/Japan|http://dbpedia.org/resource/Sayama,_Saitama}",NULL,NULL,NULL,NULL,Compact executive car,http://dbpedia.org/resource/Compact_executive_car,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Front-engine front-wheel-drive layout,"http://dbpedia.org/resource/Front-engine,_front-wheel-drive_layout",NULL,Honda,http://dbpedia.org/resource/Honda,NULL,2004-01-01T00:00:00+02:00,NULL,NULL,Honda Integra,http://dbpedia.org/resource/Honda_Integra,NULL,NULL,NULL,NULL,Honda Accord (Japan and Europe eighth generation),http://dbpedia.org/resource/Honda_Accord_(Japan_and_Europe_eighth_generation),NULL,NULL,NULL,NULL,200px-2010_Acura_TSX_--_03-15-2010.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/2010_Acura_TSX_--_03-15-2010.jpg/200px-2010_Acura_TSX_--_03-15-2010.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,2010_Acura_TSX_--_03-15-2010.jpg,http://upload.wikimedia.org/wikipedia/commons/7/73/2010_Acura_TSX_--_03-15-2010.jpg,{Acura TSX|Dongfeng Honda SPIRIOR|Honda Accord Euro|Honda Accord Saloon|Honda Accord Tourer}
http://dbpedia.org/resource/Rice_burner,Rice burner,Rice burner is a pejorative describing Japanese-made—or by extension Asian-made—motorcycles and automobiles. The term is often defined as offensive or racist stereotyping. In some cases users of the term assert that it is not offensive or racist or else treat the term as a humorous mild put-down rather than a racial slur. Variations are rice rocket used mostly but not exclusively for superbike motorcycles from Japan rice machine rice grinder or simply ricer.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200px-DelsolRicer.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/DelsolRicer.jpg/200px-DelsolRicer.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,DelsolRicer.jpg,http://upload.wikimedia.org/wikipedia/commons/8/86/DelsolRicer.jpg,{Rice burner|Rice machine rice rocket rice grinder or ricer}
http://dbpedia.org/resource/Volkswagen_Beetle__1967_Volkswagen_Beetle__1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Volkswagen_Beetle__1967_Volkswagen_Beetle__1__1,http://dbpedia.org/resource/Volkswagen_Beetle__1967_Volkswagen_Beetle__1__1,NULL,NULL,NULL,NULL,4.079,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4-speed manual,Volkswagen Beetle,http://dbpedia.org/resource/Volkswagen_Beetle,NULL,NULL,NULL,2.4,1.539,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,NULL,NULL,1967 Volkswagen Beetle
http://dbpedia.org/resource/Pontiac_Vibe__First_generation__1,NULL,NULL,NULL,NULL,NULL,NULL,Hatchback,http://dbpedia.org/resource/Hatchback,NULL,NULL,NULL,NULL,NULL,NULL,{Pontiac_Vibe__First_generation__1__1|Pontiac_Vibe__First_generation__1__2},{http://dbpedia.org/resource/Pontiac_Vibe__First_generation__1__1|http://dbpedia.org/resource/Pontiac_Vibe__First_generation__1__2},NULL,1.5494,NULL,NULL,4.35102,NULL,NULL,2008-01-01T00:00:00+02:00,2003-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{4-speed automatic|5-speed manual|6-speed manual},Pontiac Vibe,http://dbpedia.org/resource/Pontiac_Vibe,NULL,NULL,NULL,NULL,1.77546,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,NULL,NULL,{First generation|Toyota Voltz}
http://dbpedia.org/resource/Volkswagen_Golf__Mk1_17__1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Volkswagen_Golf__Mk1_17__1__1,http://dbpedia.org/resource/Volkswagen_Golf__Mk1_17__1__1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Volkswagen Beetle,http://dbpedia.org/resource/Volkswagen_Beetle,NULL,NULL,NULL,NULL,{Volkswagen Jetta|Volkswagen Scirocco},{http://dbpedia.org/resource/Volkswagen_Jetta|http://dbpedia.org/resource/Volkswagen_Scirocco},NULL,NULL,Volkswagen Golf Mk2,http://dbpedia.org/resource/Volkswagen_Golf_Mk2,NULL,NULL,NULL,Volkswagen Golf,http://dbpedia.org/resource/Volkswagen_Golf,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,NULL,NULL,Volkswagen Golf Mk1 (17)
